2024-10-22 23:39:36 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:16 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:18 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:19 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:19 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:20 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:20 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:29 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:29 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:29 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:29 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:37 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:37 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:38 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:38 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:40 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:44 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:44 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:50 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:50 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:44:51 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:51 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:08 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:08 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:09 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:09 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:19 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:19 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:21 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:21 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:23 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:34 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:34 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:34 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:34 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:35 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:35 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:38 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:38 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:40 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:46 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:46 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:46 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:45:46 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:46 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:53 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:45:53 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:53 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:56 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:45:56 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:56 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:56 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:45:56 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:56 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:45:57 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:45:57 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:45:57 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:00 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:00 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:00 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:00 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:01 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:01 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:01 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:12 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:12 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:12 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:15 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:15 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:15 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:28 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:28 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:28 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:30 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:30 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:30 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:30 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:30 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:30 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:35 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:35 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:35 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:46 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:46:46 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:46 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:46 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:46:59 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:46:59 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:46:59 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:47:05 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:47:05 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:47:05 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:47:05 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:47:08 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:47:08 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
2024-10-22 23:47:08 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:47:08 [INFO]  比赛:[Hassania Union Sport Agadir -- Union Touarga] 赔率: [0.6072315426079582], 持续时间[1.5582139492034912 秒]
2024-10-22 23:47:11 [INFO]  比赛:[Real Madrid -- Borussia Dortmund] 赔率: [0.5845156524618559], 持续时间[1.1524415016174316 秒]
2024-10-22 23:47:11 [INFO]  比赛:[SCC Mohammedia -- Maghreb AS de Fes] 赔率: [0.7827886932030269], 持续时间[1.1435561180114746 秒]
